interaction_id,user_id,google_place_id,interaction_type,timestamp
9e41d3ac-44e8-4d14-9b86-71b8807933e0,db457081-4cae-4dce-9ccc-f0545849532e,ChIJAYFTg5HhDDkR_v7Ha_GJtt8,click,2025-12-04T15:29:46.004612
901ade85-3b96-4819-b504-07f2ad99165c,5fc98c67-e5e9-43f6-8188-59f70e55c234,ChIJW6e21DgADTkRH8BsMhBw3jQ,view,2025-12-04T17:29:46.004612
3fea533c-f3a6-4b34-b262-7a3234dd2000,c93d87fb-8e69-48fd-b7fe-3ada0e1ca17c,ChIJ97W7F9EfDTkRidfrk_JoC5s,view,2025-12-04T17:29:46.004612
78cdc30f-3782-4595-9f58-343fd738df1d,c4b2e08f-17a0-4035-97fd-b2cccb6535d7,ChIJBUyBs_EBDTkR6NDsh_942IY,view,2025-12-04T19:29:46.004612
9b7a3540-eb9a-4726-897f-7404413c0b28,825ccd8f-20cf-436b-afd9-6daf1e04e7d6,ChIJYy_XeOQbDTkRK2NfXsfpEEE,view,2025-12-04T19:29:46.004612
6ae836a7-b7fe-4907-9e0b-573597043550,26b70735-b82d-4c89-9334-8cd9716109e6,ChIJ832IbC79DDkRxvUL3edYTw4,view,2025-12-04T20:29:46.004612
2eedae41-0fad-49d7-b8b7-cd9a12cbadc1,f32ed5f5-48b9-4967-9ec6-8c0147bd672c,ChIJry5bF2YBDTkRNPLEn2_bbOI,click,2025-12-04T22:29:46.004612
c176cce7-0cb2-46cd-95e5-c86b5ef67b27,cc36dc83-0ef2-4158-8593-0bf90b2929f2,ChIJ5ywskdUBDTkReNdCgxAYPJI,click,2025-12-04T23:29:46.004612
d209bfc7-47c9-44f9-8fbf-933cc21246df,f4445df4-8aa1-46d1-ba98-281e62da5701,ChIJfQEtoOsCDTkRZ6-PHF1QCG4,view,2025-12-05T01:29:46.004612
efc40a4e-2a43-4e70-94cb-4c5e1d7ad987,3be37f58-0dfb-4c1a-b9bf-9b21b5badc17,ChIJJ9wSfkKqDTkRzfuvNoR76ds,click,2025-12-05T01:29:46.004612
