interaction_id,user_id,google_place_id,interaction_type,timestamp
f7ea2dfe-c61f-4141-8b26-2e9b957ede2a,a554eb05-1b5b-4f27-9dad-f6cc82a824cd,ChIJAxoZFF0-DTkRrQYeGhnCS1c,view,2025-12-04T19:08:39.527569
da8b1f50-cb7c-40dd-95ee-5fca7ccc3a9d,67364aa1-8d07-45f5-941f-31b64963f318,ChIJAXp7bFcZDTkRkKdt_Lt46Tk,rating,2025-12-04T19:08:39.527569
c004d314-c795-45d6-b56c-dd2afe49a656,b06db2c7-0962-44a2-9e2e-0c20ed116e97,ChIJRYVcMn8_DTkRjwOiyekkc18,booking,2025-12-04T19:08:39.527569
c86d6897-596c-4a48-a1d3-dd29c6fecf30,4d6e905c-7e27-4c61-b9eb-2bc79ce3ea71,ChIJJWjGrxEeDTkRwBTPOhzPqgA,click,2025-12-04T19:08:39.527569
8bd92b07-9c9f-4dda-9b1e-424040486ac4,b4c22be5-bfd5-4719-9adb-b47fd6ce6ccb,ChIJ5X7CbgAZDTkR2E-ZjpnjZi8,click,2025-12-04T19:08:39.527569
2e49996b-4a94-4660-9616-3d12f259a626,13681eb3-7b25-44f1-b853-5b46921740de,ChIJozZZLu0fDTkRC6DaaoQIvf4,view,2025-12-04T20:08:39.527569
7c7ad07b-c15f-4864-82c2-a6ba0225bfde,67364aa1-8d07-45f5-941f-31b64963f318,ChIJ48E4IKoZDTkRUDIRdG8HzTI,view,2025-12-04T20:08:39.527569
ddd51f93-8c29-4122-9d21-a0f8be702777,14237f3f-320c-4edb-85ce-4f3d28234a74,ChIJC5Q-kVUFDTkRJw9wSqEzoKY,view,2025-12-04T20:08:39.527569
2a07f530-2c99-4370-a93a-b1f79865b09b,ed413153-57f8-45f0-bdeb-8be9375fe111,ChIJda6QOks8DTkRSYPBnAZZFs8,view,2025-12-04T20:08:39.527569
174215b6-4218-422e-908b-ae2aedcf68e2,3f88c491-58fd-44a2-abf9-df85d43a1465,ChIJTW2J7Yv7DDkRoaEMVYMmb-0,booking,2025-12-04T20:08:39.527569
df8015f1-eb76-4750-8a74-df4519f971fe,76494271-a595-49c7-8fcf-cdbb4ac3c3b9,ChIJtzqgI2U-DTkRsyjuU_lRS18,view,2025-12-04T21:08:39.527569
a0a64ed0-7110-4865-8b21-a71e4dcf4174,a2cfe09b-c95d-4df9-be37-98a6eafe1549,ChIJiWLtVqP_DDkRLHUVE9GVOMo,click,2025-12-04T21:08:39.527569
c517fb77-b0f6-47b8-a8de-5b1643355104,81f17506-2057-4c64-bc50-ffa0a4be120e,ChIJ845VBz0eDTkRn4taWpUHdMI,view,2025-12-04T21:08:39.527569
1e74065c-1139-4fdb-aef8-171ee74202a7,484ba900-a1cf-4128-ac39-0cdaae9a5892,ChIJf9AdFZ0DDTkROoUXx6i7QvM,view,2025-12-04T21:08:39.527569
2bd24a30-7475-4398-890e-5e5fd77e2b8b,aaf6da95-4ceb-4028-87ae-d70cab30bac3,ChIJ_2XTFpEbDTkR_wloHcUNR5g,click,2025-12-04T22:08:39.527569
dd734877-c955-487b-9bd9-929c9db01beb,73d1f3ba-ad8f-4898-81b9-f6c5929fcc4a,ChIJF7LqehsbDTkR6XzlZaqz00s,view,2025-12-04T22:08:39.527569
b0a0d34c-7539-407c-91ab-bdb11c08d8b7,847d6eaf-b9bf-4508-bed5-ce0364bc8d76,ChIJ2QQhr8QaDTkRMce_qfoaI-A,view,2025-12-04T22:08:39.527569
